Weight Vectors,Counts
"[0.47000000000000025, -0.5519194099999994, -0.32242957799999955, -0.41311165999999994, -0.026738646000000088]",20
"[0.48000000000000026, -0.5846114099999995, -0.44983557799999957, -0.2575386599999999, -0.02815684600000009]",24
"[0.49000000000000027, -0.5834522099999995, -0.41761657799999957, -0.2918406599999999, -0.05661384600000009]",35
"[0.5000000000000002, -0.5683752099999995, -0.39802057799999957, -0.3224246599999999, -0.05783814600000009]",14
"[0.5100000000000002, -0.5464322099999994, -0.35251757799999955, -0.37218465999999994, -0.08509214600000009]",25
"[0.5000000000000002, -0.5516272099999994, -0.31988457799999953, -0.40307965999999995, -0.0752431460000001]",111
"[0.4900000000000002, -0.5568222099999993, -0.2872515779999995, -0.43397465999999996, -0.0653941460000001]",2
"[0.5000000000000002, -0.5928072099999994, -0.42384457799999953, -0.25792265999999997, -0.0903211460000001]",8
"[0.5100000000000002, -0.5802352099999993, -0.3751135779999995, -0.31078365999999996, -0.14906214600000012]",32
"[0.5200000000000002, -0.5634362099999993, -0.3330455779999995, -0.35618165999999996, -0.17299314600000013]",28
"[0.5100000000000002, -0.5369572099999993, -0.43441957799999953, -0.34287165999999997, -0.11828614600000012]",15
"[0.5000000000000002, -0.5421519099999993, -0.4017865779999995, -0.37376666, -0.10843694600000012]",38
"[0.5100000000000002, -0.5242769099999993, -0.3539865779999995, -0.42512866, -0.14079894600000012]",177
"[0.5000000000000002, -0.5164079099999993, -0.4496495779999995, -0.38726166, -0.06576494600000012]",8
"[0.5100000000000002, -0.5015119099999993, -0.4153615779999995, -0.42757066, -0.08002394600000011]",25
"[0.5000000000000002, -0.5067069099999992, -0.3827285779999995, -0.45846566, -0.07017494600000011]",87
"[0.5100000000000002, -0.5350979099999993, -0.4490285779999995, -0.35361666, -0.07438624600000011]",3
"[0.5200000000000002, -0.5177669099999993, -0.4094845779999995, -0.40102866000000004, -0.09940324600000011]",61
"[0.5100000000000002, -0.5210593099999993, -0.3649325779999995, -0.44674666, -0.0895152460000001]",63
"[0.5200000000000002, -0.5570443099999993, -0.5015255779999995, -0.27069466, -0.11444224600000011]",4
"[0.5100000000000002, -0.5603363099999993, -0.45697357799999955, -0.31641265999999996, -0.1045542460000001]",20
"[0.5000000000000002, -0.5655313099999992, -0.4243405779999995, -0.34730765999999996, -0.0947052460000001]",1
"[0.4900000000000002, -0.5707263099999992, -0.3917075779999995, -0.37820265999999997, -0.08485624600000011]",27
"[0.5000000000000002, -0.5562253099999992, -0.3556405779999995, -0.41875966, -0.10082224600000012]",11
"[0.5100000000000002, -0.5359153099999991, -0.3371205779999995, -0.44888066, -0.10079221600000011]",37
"[0.5200000000000002, -0.5673383099999991, -0.4674855779999995, -0.29210766, -0.10740871600000011]",19
"[0.5300000000000002, -0.5434213099999992, -0.4219205779999995, -0.34199566, -0.1363957160000001]",179
"[0.5200000000000002, -0.5486160099999992, -0.38928757799999947, -0.37289066, -0.1265465160000001]",173
